ID,file_name,x_pos,z_pos,brush_orien
1,'Exp_40_1_C001H001S0001',27.7e-3,64.5e-3,3.14159265/2
2,'Exp_40_2_C001H001S0001',27.7e-3,64.5e-3,3.14159265/2
3,'Exp_40_3_C001H001S0001',25.7e-3,64.5e-3,3.14159265/2
4,'Exp_40_4_C001H001S0001',25.7e-3,64.5e-3,3.14159265/2
5,'Exp_40_5_C001H001S0001',23.7e-3,64.5e-3,3.14159265/2
6,'Exp_40_6_C001H001S0001',23.7e-3,64.5e-3,3.14159265/2
7,'Exp_40_7_C001H001S0001',21.7e-3,64.5e-3,3.14159265/2
8,'Exp_40_8_C001H001S0001',21.7e-3,64.5e-3,3.14159265/2
9,'Exp_40_13_C001H001S0001',27.7e-3,63.5e-3,0
10,'Exp_40_14_C001H001S0001',27.7e-3,63.5e-3,0
11,'Exp_40_15_C001H001S0001',25.7e-3,63.5e-3,0
12,'Exp_40_16_C001H001S0001',25.7e-3,63.5e-3,0
13,'Exp_40_17_C001H001S0001',23.7e-3,63.5e-3,0
14,'Exp_40_18_C001H001S0001',23.7e-3,63.5e-3,0
15,'Exp_40_19_C001H001S0001',21.7e-3,63.5e-3,0
16,'Exp_40_20_C001H001S0001',21.7e-3,63.5e-3,0
